name,price,structure
Подарочный набор «Кедровая любовь»,1 212 руб.,"Кедровый марципан, 170 г,Чай зелёный с лимоном и имбирём, 50 г,Ягодная пастила брусничная с кедровыми орехами, 100 г,Шоколад без сахара NEOcolate с ядром кедрового ореха, 30 г,Подарочная коробка (малая)"
Подарочный набор «From Siberia with Love»,1 995 руб.,"Кедровый марципан ассорти, 170 г - клюква, малина, облепиха,Чайный напиток Саган-дайля с малиной и стевией, 40 г,Цветной шоколад с клубникой, 100 г,Деревянная брошь «Шишка»"
Подарочный набор «Согревающий»,636 руб.,"Чайный напиток «Мужской», 50 г,Варенье из сосновых шишек, 100 г"
Подарочный набор «Мужской»,636 руб.,"Чайный напиток «Мужской», 50 г,Тёмный шоколад с клюквой и кедровым орехом, 100 г"
Подарочный набор «Крепкий орешек»,628 руб.,"Чайный напиток «Мужской», 50 г,Ядро кедрового ореха, 100 г - подарочная упаковка"
"Подарочный набор «No Sugar, No Cry»",1 673 руб.,"Батончик орехово-фруктовый BeGoo кешью + апельсин, 40 г,Пастила BeGoo брусника+кешью, 30 г,Мармелад «Ягодень» клубничный с семенами чиа, 140 г,Чай зелёный с лимоном и имбирём, 50 г,Паста фундучная BeGoo с кэробом и какао, 180 г,Шоколад без сахара NEOcolate с клубникой, чиа и кешью, 30 г,Подарочная коробка (малая),Подарочная открытка"
Подарочный набор «Комплимент»,725 руб.,"Иван-чай «Подарочный» пакетированный, 15 г,Цветной шоколад с ежевикой, клубникой и вереском, 100 г,Открытка"
Подарочный набор «Медведь»,3 495 руб.,"Варенье из жимолости, 200 г,Мёд с соком брусники, 220 г,Конфеты «Ягодень» ассорти (облепиха, малина, сосновая шишка, чёрная смородина, брусника), 85 г"
"Подарочный набор женский «Оставайся хитрой», 936 г",3 995 руб.,"Крем-мёд с малиной, 200 г,Чайный напиток травяной «Женский», 50 г,Цветной шоколад с шиповником и клюквой,Молочный шоколад с ядром кедрового ореха и манго"
"Подарочная шкатулка деревянная, 740 г",5 777 руб.,"Кедровые палочки,Кедровый грильяж с клюквой,Ягодная пастила ассорти (облепиха, малина, чёрная смородина), 100 г,Халва кедровая, 200 г,Иван-чай с брусникой, 40 г,Сибирское варенье, 100 г"
"Подарочная шкатулка берестяная, 1 560 г",8 995 руб.,"Кедровый грильяж с клюквой,Кедровый грильяж с черникой,Кедровый грильяж с сосновой шишкой,Мягкий грильяж классический,Кедровые палочки,Кедровый марципан,Мармеладные конфеты «Ягодень» с брусникой,Фруктовые конфеты «Фрутодень» с фиником,Кедровый трюфель «Ассорти из тёмного шоколада»,Тёмный шоколад с кедровым орехом, 100 г,Варенье из сосновых шишек, 100 г,Иван-чай с облепихой, 40 г"
